,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,Lon
0,bellevue,75,US,1538256840,60,47.61,68,6.93,-122.19
1,bluff,0,AU,1538258395,80,-23.58,63.37,5.64,149.07
2,busselton,20,AU,1538258182,100,-33.64,55.72,18.05,115.35
3,atuona,56,PF,1538258395,100,-9.8,79.12,10.89,-139.03
4,comodoro rivadavia,75,AR,1538256000,71,-45.87,57.2,25.28,-67.48
5,christchurch,48,NZ,1538256600,87,-43.53,48.2,4.7,172.64
6,batemans bay,0,AU,1538258396,100,-35.71,46.72,4.18,150.18
8,kaitangata,92,NZ,1538258196,100,-46.28,47.8,4.41,169.85
9,kapaa,90,US,1538256000,90,22.08,84.02,18.34,-159.32
10,smolyaninovo,0,RU,1538256600,100,43.29,44.6,4.47,132.46
11,saba,92,HN,1538258396,71,15.52,80.2,2.39,-86.23
13,sao joao da barra,90,BR,1538254800,83,-21.64,75.2,6.98,-41.05
14,miasskoye,40,RU,1538256600,93,55.28,46.4,4.63,61.89
15,hithadhoo,68,MV,1538258194,100,-0.6,81.37,12.46,73.08
16,vila franca do campo,40,PT,1538256600,88,37.72,64.4,13.87,-25.43
17,bathsheba,40,BB,1538254800,78,13.22,82.4,18.34,-59.52
18,najran,0,SA,1538254800,20,17.54,77,3.06,44.22
19,tuktoyaktuk,75,CA,1538255460,86,69.44,28.4,5.82,-133.03
20,yellowknife,75,CA,1538254800,64,62.45,33.8,12.75,-114.38
21,danville,1,US,1538258100,81,36.59,78.98,3.06,-79.4
23,punta arenas,90,CL,1538254800,80,-53.16,39.2,5.82,-70.91
24,kavieng,12,PG,1538258254,100,-2.57,83.98,6.2,150.8
25,rikitea,32,PF,1538258398,100,-23.12,72.73,12.68,-134.97
26,arman,20,RU,1538256600,89,59.7,37.4,2.24,150.17
27,balkanabat,0,TM,1538258398,33,39.51,62.56,3.96,54.36
31,tyret pervaya,0,RU,1538258399,83,53.67,30.79,2.84,102.31
32,nabire,48,ID,1538258399,93,-3.36,68.32,2.28,135.5
34,cabo san lucas,40,MX,1538253840,74,22.89,84.2,10.29,-109.91
35,pak phanang,0,TH,1538258399,100,8.35,78.67,6.08,100.2
36,bandarbeyla,8,SO,1538258399,98,9.49,77.23,19.39,50.81
37,vaini,20,IN,1538258399,94,15.34,69.4,2.17,74.49
38,albany,20,US,1538257860,42,42.65,64.04,8.05,-73.75
39,cape town,0,ZA,1538254800,72,-33.93,60.8,6.93,18.42
40,waingapu,32,ID,1538258400,94,-9.65,69.49,4.97,120.26
41,port-gentil,75,GA,1538254800,94,-0.72,78.8,9.17,8.78
42,aswan,48,EG,1538258400,29,24.09,87.67,9.33,32.9
43,wageningen,90,NL,1538256300,93,51.98,44.6,2.24,5.66
44,arraial do cabo,75,BR,1538254800,78,-22.97,75.2,10.29,-42.02
45,nikolskoye,0,RU,1538256600,75,59.7,42.8,13.42,30.79
46,avarua,75,CK,1538254800,64,-21.21,73.4,5.82,-159.78
47,la romana,75,DO,1538254800,74,18.43,86,11.41,-68.97
48,liku,48,ID,1538258401,100,-0.73,77.41,2.84,119.89
49,broome,0,GB,1538256000,87,52.47,48.2,5.82,1.45
51,hervey bay,0,AU,1538258413,98,-25.3,68.95,4.18,152.85
52,la ronge,75,CA,1538257260,65,55.1,32,14.99,-105.3
53,jamestown,0,AU,1538258414,76,-33.21,36.37,7.2,138.6
54,ilulissat,40,GL,1538254200,50,69.22,33.8,13.87,-51.1
55,eichenzell,0,DE,1538258414,81,50.5,36.82,3.29,9.7
56,hualmay,8,PE,1538258415,64,-11.1,69.22,5.75,-77.61
57,gulariya,0,IN,1538258415,89,28.2,71.38,1.95,81.35
58,jalu,44,LY,1538258415,32,29.03,69.4,6.53,21.55
59,lohja,75,FI,1538256000,93,60.25,44.6,11.41,24.07
60,plouzane,0,FR,1538256600,87,48.38,51.8,4.7,-4.62
61,ruteng,20,ID,1538258415,96,-8.61,68.68,2.95,120.46
62,airai,0,TL,1538258416,83,-8.93,58.6,1.95,125.41
63,butaritari,48,KI,1538258188,100,3.07,85.06,3.51,172.79
65,abu samrah,0,SY,1538258416,58,35.3,67.96,5.64,37.18
66,ostrovnoy,0,RU,1538258416,90,68.05,26.02,11.01,39.51
67,santa rosa,0,AR,1538258418,40,-36.62,66.43,4.74,-64.29
68,hermanus,0,ZA,1538258418,69,-34.42,49.15,3.74,19.24
70,mataura,64,NZ,1538258418,100,-46.19,48.25,4.29,168.86
71,new norfolk,20,AU,1538256600,54,-42.78,53.6,16.11,147.06
72,arona,0,IT,1538256000,67,45.76,66.2,4.7,8.56
73,manaus,40,BR,1538258400,62,-3.13,89.6,9.17,-59.98
74,saskylakh,80,RU,1538258418,99,71.97,31.96,12.01,114.09
76,aasiaat,12,GL,1538258419,98,68.71,37.72,17.16,-52.87
77,barrow,12,AR,1538258419,96,-38.31,56.53,8.66,-60.23
78,lakes entrance,20,AU,1538258362,94,-37.88,49.96,9.66,147.99
79,portland,90,US,1538254560,62,45.52,64.94,5.82,-122.67
81,houma,0,CN,1538258420,66,35.63,43.93,4.18,111.36
82,griffith,0,AU,1538258421,80,-34.29,41.86,4.29,146.06
83,svobodnyy,0,RU,1538258421,91,53.85,35.92,7.43,40.53
84,chuy,64,UY,1538258200,100,-33.69,69.22,12.12,-53.46
85,egvekinot,92,RU,1538258484,98,66.32,47.71,6.76,-179.17
86,port alfred,0,ZA,1538258423,87,-33.59,63.73,17.05,26.89
87,port lincoln,24,AU,1538258423,100,-34.72,51.94,14.14,135.86
88,trairi,0,BR,1538258291,100,-3.28,79.48,17.27,-39.27
89,vestmannaeyjar,36,IS,1538258239,99,63.44,41.32,23.2,-20.27
90,ushuaia,75,AR,1538254800,86,-54.81,33.8,13.87,-68.31
91,linjiang,100,CN,1538258167,95,41.81,45.55,3.74,126.91
92,bethel,75,US,1538254380,66,60.79,57.02,13.87,-161.76
94,mar del plata,44,AR,1538258424,52,-46.43,51.94,13.8,-67.52
96,quthing,0,LS,1538258424,86,-30.4,33.94,2.39,27.7
97,manokwari,56,ID,1538258424,100,-0.87,81.82,1.72,134.08
98,khatanga,44,RU,1538258425,89,71.98,39.43,8.99,102.47
99,port arthur,90,US,1538256900,98,29.9,77,2.84,-93.93
100,tasiilaq,20,GL,1538257800,47,65.61,35.6,2.24,-37.64
102,kodiak,90,US,1538254380,80,39.95,60.98,4.7,-94.76
103,agnibilekrou,64,CI,1538258436,80,7.13,78.76,4.97,-3.2
104,vardo,20,US,1538255700,46,39.62,77,3.29,-77.74
105,lewistown,90,US,1538256900,59,40.39,64.58,9.17,-90.15
106,vao,92,EE,1538258436,83,59.1,41.86,11.45,26.19
107,georgetown,20,GY,1538254800,70,6.8,84.2,11.41,-58.16
108,kununurra,0,AU,1538256600,88,-15.77,69.8,1.12,128.74
109,puerto ayora,20,EC,1538254800,65,-0.74,80.6,19.46,-90.35
110,baoding,0,CN,1538258436,58,38.86,42.22,5.97,115.49
111,linxia,68,CN,1538258437,72,35.6,34.48,1.72,103.21
112,aklavik,20,CA,1538254800,100,68.22,33.8,3.36,-135.01
113,fairbanks,1,US,1538254680,8,64.84,58.28,10.29,-147.72
114,sao filipe,76,CV,1538258437,95,14.9,78.76,8.99,-24.5
115,lata,0,IN,1538258437,83,30.78,46.36,1.83,78.62
116,santa maria,0,BR,1538254800,52,-29.69,89.6,9.17,-53.81
117,qaanaaq,32,GL,1538258439,100,77.48,17.02,3.85,-69.36
118,verkhniy avzyan,48,RU,1538258439,80,53.53,49.33,8.66,57.54
119,qaqortoq,88,GL,1538257800,55,60.72,37.4,8.05,-46.03
120,san patricio,20,PY,1538258182,54,-26.98,87.76,8.66,-56.83
122,castro,92,CL,1538258188,100,-42.48,38.89,11.12,-73.76
124,praya,20,ID,1538256600,88,-8.71,73.4,6.42,116.27
125,lavrentiya,100,RU,1538258440,90,65.58,46.27,23.31,-170.99
126,broken hill,0,AU,1538258502,80,-31.97,40.33,7.65,141.45
127,sitka,0,US,1538258190,60,37.17,75.97,15.26,-99.65
128,east london,20,ZA,1538258440,100,-33.02,65.26,18.5,27.91
129,bredasdorp,0,ZA,1538254800,77,-34.53,60.8,10.29,20.04
130,champerico,40,MX,1538257440,58,16.38,86,10.29,-93.6
132,kaili,56,ID,1538258441,92,-3.46,69.4,1.61,120.21
133,husavik,0,CA,1538258441,85,50.56,46.27,10.78,-96.99
134,hasaki,75,JP,1538255700,93,35.73,66.2,8.05,140.83
135,hilo,20,US,1538254560,74,19.71,84.92,9.17,-155.08
