,0
0,bellevue
1,bluff
2,busselton
3,atuona
4,comodoro rivadavia
5,christchurch
6,batemans bay
7,saleaula
8,kaitangata
9,kapaa
10,smolyaninovo
11,saba
12,urumqi
13,sao joao da barra
14,miasskoye
15,hithadhoo
16,vila franca do campo
17,bathsheba
18,najran
19,tuktoyaktuk
20,yellowknife
21,danville
22,bengkulu
23,punta arenas
24,kavieng
25,rikitea
26,arman
27,balkanabat
28,barentsburg
29,tasbuget
30,ruatoria
31,tyret pervaya
32,nabire
33,samusu
34,cabo san lucas
35,pak phanang
36,bandarbeyla
37,vaini
38,albany
39,cape town
40,waingapu
41,port-gentil
42,aswan
43,wageningen
44,arraial do cabo
45,nikolskoye
46,avarua
47,la romana
48,liku
49,broome
50,bambous virieux
51,hervey bay
52,la ronge
53,jamestown
54,ilulissat
55,eichenzell
56,hualmay
57,gulariya
58,jalu
59,lohja
60,plouzane
61,ruteng
62,airai
63,butaritari
64,umzimvubu
65,abu samrah
66,ostrovnoy
67,santa rosa
68,hermanus
69,doctor pedro p. pena
70,mataura
71,new norfolk
72,arona
73,manaus
74,saskylakh
75,marcona
76,aasiaat
77,barrow
78,lakes entrance
79,portland
80,attawapiskat
81,houma
82,griffith
83,svobodnyy
84,chuy
85,egvekinot
86,port alfred
87,port lincoln
88,trairi
89,vestmannaeyjar
90,ushuaia
91,linjiang
92,bethel
93,taolanaro
94,mar del plata
95,karkaralinsk
96,quthing
97,manokwari
98,khatanga
99,port arthur
100,tasiilaq
101,upernavik
102,kodiak
103,agnibilekrou
104,vardo
105,lewistown
106,vao
107,georgetown
108,kununurra
109,puerto ayora
110,baoding
111,linxia
112,aklavik
113,fairbanks
114,sao filipe
115,lata
116,santa maria
117,qaanaaq
118,verkhniy avzyan
119,qaqortoq
120,san patricio
121,illoqqortoormiut
122,castro
123,grand river south east
124,praya
125,lavrentiya
126,broken hill
127,sitka
128,east london
129,bredasdorp
130,champerico
131,mys shmidta
132,kaili
133,husavik
134,hasaki
135,hilo
136,ewa beach
137,rawson
138,dolores
139,whitehorse
140,wanning
141,port macquarie
142,shenkursk
143,norman wells
144,san luis
145,billings
146,palmer
147,saint-philippe
148,prince rupert
149,cumbitara
150,kabompo
151,tiksi
152,gudari
153,vostok
154,talnakh
155,saint anthony
156,umm kaddadah
157,hofn
158,glendive
159,atambua
160,kayfan
161,geraldton
162,renukut
163,karpathos
164,nemuro
165,port hardy
166,tatawin
167,dicabisagan
168,damietta
169,hazorasp
170,hunza
171,fort nelson
172,guerrero negro
173,tolga
174,paamiut
175,santa cruz
176,puerto cortes
177,kasempa
178,faanui
179,bad oeynhausen
180,pacific grove
181,tongchuan
182,veraval
183,lebu
184,chepareria
185,hamilton
186,tumannyy
187,bandar-e lengeh
188,dikson
189,kamenka
190,miguel auza
191,carnarvon
192,denpasar
193,atar
194,poum
195,severo-kurilsk
196,kampot
197,tautira
198,kruisfontein
199,yumen
200,katsuura
201,suez
202,tsihombe
203,akyab
204,bambanglipuro
205,artyom
206,sambava
207,jibuti
208,dingle
209,amderma
210,katangli
211,port keats
212,chapais
213,ahipara
214,thompson
215,hay river
216,puerto escondido
217,klaksvik
218,pevek
219,marawi
220,evensk
221,tungkang
222,wanaka
223,skelleftea
224,muros
